MS_IMP_SEG,YR_BUILT
R1000151.1.1,1990
R1000160.1.1,1978
R1000204.1.1,1978
R1007252.1.1,1980
R1008643.1.1,1991
R1009090.1.1,1994
R1009107.1.1,1998
R1009198.1.1,2000
R1009214.1.1,2000
R1012503.1.2,1920
R1012503.1.3,1920
R1012692.1.1,1982
R1013557.2.1,1980
R1013799.1.1,1979
R1013799.1.2,1977
R1021147.1.1,1979
R1027034.1.1,2013
R103060.1.1,1968
R103060.2.1,1968
R103159.1.1,1974
R103159.1.2,1995
R1032037.1.1,1979
R1032260.1.1,1983
R1032395.2.1,2013
R1032411.1.1,1979
R1032411.1.3,1979
R1032466.1.1,1981
R1034026.1.1,1947
R1034026.1.2,1947
R1037318.1.1,1981
R104149.1.1,1974
R104167.1.1,1977
R104185.1.1,1963
R104194.1.1,1964
R104194.2.1,1964
R104201.3.1,1968
R104229.1.1,1986
R104238.1.1,1952
R104238.1.2,1952
R104247.1.1,1940
R104256.1.1,1941
R104256.1.2,1941
R104256.2.1,1990
R104265.1.1,1941
R104265.1.2,1941
R104274.1.1,1952
R104274.1.3,1952
R104283.1.1,1972
R104309.1.1,1979
R104309.1.2,1979
R104960.1.1,1997
R104979.1.1,1961
R105013.2.1,1976
R105013.3.1,1979
R105022.1.1,1977
R105022.2.1,1969
R105022.3.1,1971
R105040.1.1,1998
R105193.1.1,1968
R105200.1.1,1935
R105228.1.1,1969
R105237.1.1,1969
R105255.1.1,1958
R105264.1.1,1977
R105264.1.2,1977
R105567.1.1,1965
R105567.2.1,1965
R105567.3.1,1970
R105567.3.2,1970
R105585.1.1,1969
R105594.1.1,1950
R105594.1.2,1950
R105601.1.1,1969
R105638.1.1,1954
R105638.1.2,1954
R105674.1.1,1981
R106003.1.1,1981
R106012.1.1,1974
R106021.1.1,1974
R106030.1.1,1964
R106049.1.1,1996
R106049.1.2,1996
R106067.1.1,1973
R106076.1.1,1980
R106085.1.1,2001
R106405.1.1,1961
R106405.1.4,1961
R106423.1.1,1995
R106806.1.1,1983
R106824.1.1,1962
R106824.2.1,1965
R106824.3.1,2011
R107146.1.1,1925
R107146.1.2,1925
R107182.1.1,1970
R107182.1.2,1970
R107191.1.1,1973
R107217.1.1,1945
R107217.2.1,1949
R107217.2.2,1949
R107217.3.1,1990
R107226.1.1,1949
R107226.1.2,1949
R107244.1.1,1978
R107253.1.1,1957
R107262.1.1,1967
R107299.1.1,1978
R107315.1.1,1971
R107324.1.1,1963
R107379.1.1,1974
R107388.1.1,1979
R107404.1.1,1930
R107404.1.2,1930
R107404.1.3,1930
R107422.1.1,1979
R107431.1.1,1968
R107477.1.1,1980
R107486.1.1,2001
R107501.1.1,1955
R107501.1.3,1955
R107529.1.1,1979
R107538.1.1,1978
R107547.1.1,1955
R107556.1.1,1952
R107574.1.1,1981
R107583.1.1,1978
R108047.1.1,1970
R108056.1.1,1975
R108065.1.1,1959
R108074.1.1,1978
R108074.2.1,1978
R108083.1.1,1968
R1086906.1.1,1965
R1109348.1.1,1979
R1110041.1.1,2001
R1110041.1.2,2001
R1110078.1.1,1992
R1110078.1.2,1992
R1110096.1.1,1984
R1110096.1.2,1983
R1110103.1.1,2001
R1110167.1.1,2005
R1110176.1.1,1980
R1110176.1.2,1980
R1110176.1.3,1980
R1110176.1.4,1980
R1110176.1.5,1980
R1110336.1.1,1993
R1110461.1.1,2008
R1111914.1.1,1980
R1111914.2.1,1980
R1113967.1.1,1979
R1115288.1.1,1986
R1125204.1.1,1999
R1125204.1.2,1999
R1125204.2.1,2007
R1125259.1.1,1997
R1125277.1.1,1987
R1125286.1.1,1997
R1125295.1.1,1997
R1125348.1.1,2005
R1125357.1.1,1986
R1125366.1.1,1989
R113558.1.1,1970
R1135827.1.1,1983
R1135827.2.1,1984
R113601.1.1,1954
R113601.1.2,1994
R113727.1.1,1965
R113727.2.1,1965
R113898.1.1,1966
R113898.1.2,1966
R113996.2.1,2008
R114003.1.1,1949
R114003.2.1,1950
R114218.1.1,1940
R114218.1.3,1940
R114227.1.1,1948
R114236.1.1,1940
R114245.1.1,1941
R114245.1.3,1941
R114245.1.4,1941
R114254.1.1,1941
R114254.1.2,1941
R114254.1.3,1941
R114263.1.1,1941
R114263.1.2,1941
R114272.1.1,1941
R114272.1.2,1941
R114290.1.1,1941
R114290.1.2,1941
R114290.1.6,1941
R114307.1.1,1941
R114307.1.2,1941
R114307.1.4,1941
R114316.1.1,1941
R114316.1.2,1941
R114316.1.3,1941
R114325.1.1,2005
R114334.1.1,1941
R114334.1.2,1941
R114334.1.9,1941
R114343.1.1,1941
R114343.1.2,1941
R114361.1.1,1941
R114361.1.2,1941
R114370.1.1,1941
R114370.1.2,1941
R114370.2.1,1987
R114389.1.1,1941
R114389.1.3,1941
R114398.1.1,1941
R114405.1.1,1941
R114414.1.1,1941
R114414.1.3,1941
R114423.1.1,1950
R114423.1.3,1950
R114432.1.1,1941
R114432.1.6,1941
R114432.2.1,1999
R114441.1.1,1941
R114441.1.3,1986
R114450.1.1,1941
R114450.1.2,1941
R114450.1.4,1941
R114469.1.1,1941
R114502.1.1,1985
R114511.1.1,1945
R114520.1.1,1945
R114520.1.3,1945
R114520.1.7,1945
R114539.1.1,2004
R114548.1.1,1949
R114548.1.2,1949
R114566.1.1,1980
R114575.1.1,1965
R114575.1.2,1965
R114584.1.1,1952
R114584.1.2,1952
R114593.1.1,1940
R114593.1.2,1940
R114600.1.1,1950
R114619.1.1,1941
R114619.1.2,1941
R114628.1.1,1950
R114637.1.1,1941
R114637.1.2,1941
R114655.1.1,1980
R114655.1.2,1980
R114744.1.1,1950
R114744.1.2,1950
R114753.1.1,1950
R114771.1.1,1950
R114780.1.1,1925
R114799.1.1,2001
R1151023.1.1,2008
R1151078.1.1,1959
R1151078.1.2,1959
R115440.1.1,1952
R115459.1.1,1950
R115459.1.2,1950
R115510.1.1,1980
R115529.1.1,1966
R115538.1.1,1969
R115538.1.2,1969
R115565.1.1,1962
R115592.1.1,1973
R115592.2.1,1973
R115609.1.1,1970
R115618.1.1,1971
R115618.1.3,1971
R115672.1.1,1962
R115681.1.1,1962
R115690.1.1,1972
R1157027.1.1,1996
R1157045.1.1,1998
R115725.1.1,1971
R115734.1.1,1971
R115761.1.1,1969
R115823.1.1,1973
R115949.1.1,1960
R115976.1.1,1950
R116109.1.1,1997
R116118.1.1,1959
R116136.1.1,1963
R116145.1.1,1963
R1161673.1.1,1963
R116172.1.1,1966
R116181.1.1,1963
R1161986.1.1,1994
R1161986.1.10,1994
R1161986.1.11,1994
R1161986.1.2,1994
R1161986.1.3,1994
R1161986.1.4,1994
R1161986.1.6,1994
R116207.1.1,1950
R116225.1.1,1955
R116234.1.1,1971
R1162351.1.1,1992
R1162351.2.1,1992
R1162351.2.2,1992
R116243.1.1,1917
R116243.1.2,1917
R116252.1.1,1989
R116270.1.1,1960
R116289.1.1,1968
R116305.1.1,1955
R116305.2.1,1960
R116323.1.1,1941
R1163261.1.1,1997
R1163261.2.1,1988
R1163298.1.1,1960
R116378.1.1,1950
R116378.2.1,2005
R116387.1.1,1950
R116396.1.1,1969
R116403.1.1,1958
R116412.1.1,1984
R116421.1.1,1984
R116430.1.1,1984
R116458.1.1,2002
R116467.1.1,1958
R116476.1.1,1952
R116500.1.1,1934
R116519.1.1,1949
R116528.1.1,1948
R116537.1.1,1948
R1165385.1.1,1979
R116546.1.1,1940
R1165508.1.1,1980
R116555.1.1,1926
R116564.1.1,1915
R1165642.1.1,1979
R116573.1.1,1951
R116591.1.1,1951
R1165973.1.1,1981
R1166115.1.1,2010
R116635.1.1,1963
R116644.1.1,1970
R116662.1.1,1965
R116671.1.1,1979
R1166865.1.1,1930
R1166865.1.3,1930
R1166865.1.4,1930
R1166972.1.1,1948
R1167052.1.1,1979
R116706.1.1,1964
R116715.1.1,1947
R116724.1.1,1954
R116733.1.1,1950
R116751.1.1,1955
R116760.1.1,1957
R116779.1.1,1964
R116788.1.1,1961
R116797.1.1,1986
R116804.1.1,1986
R116813.1.1,1982
R116822.1.1,1980
R116822.1.2,1980
R116831.1.1,1984
